# of Men,# of Women,Completeness in Men's Pref.,Completeness in Women's Pref.,Ties in Men's Pref.,Ties in Women's Pref.,Exec. Time of Sex-equal Opt.,Exec. Time of Egalitarian Opt., Exec. Time of Minimum Regret Opt.,Exec. Time of Maximum Cardinality Opt.,Exec. Time without Opt.
20,20,25 %,25 %,0 %,0 %,0.010 sec,0.020 sec,0.000 sec,0.000 sec,0.000 sec
20,20,25 %,25 %,0 %,10 %,0.020 sec,0.040 sec,0.000 sec,0.010 sec,0.010 sec
20,20,25 %,25 %,0 %,20 %,0.010 sec,0.020 sec,0.000 sec,0.000 sec,0.010 sec
20,20,25 %,25 %,10 %,10 %,0.010 sec,0.020 sec,0.000 sec,0.010 sec,0.010 sec
20,20,25 %,25 %,10 %,20 %,0.010 sec,0.040 sec,0.010 sec,0.000 sec,0.000 sec
20,20,25 %,25 %,20 %,20 %,0.020 sec,0.030 sec,0.000 sec,0.010 sec,0.010 sec
20,20,25 %,50 %,0 %,0 %,0.030 sec,0.110 sec,0.010 sec,0.010 sec,0.000 sec
20,20,25 %,50 %,0 %,10 %,0.050 sec,0.160 sec,0.010 sec,0.020 sec,0.010 sec
20,20,25 %,50 %,0 %,20 %,0.020 sec,0.110 sec,0.010 sec,0.010 sec,0.000 sec
20,20,25 %,50 %,10 %,10 %,0.040 sec,0.080 sec,0.000 sec,0.010 sec,0.010 sec
20,20,25 %,50 %,10 %,20 %,0.020 sec,0.100 sec,0.010 sec,0.010 sec,0.010 sec
20,20,25 %,50 %,20 %,20 %,0.050 sec,0.200 sec,0.010 sec,0.010 sec,0.020 sec
20,20,25 %,100 %,0 %,0 %,0.120 sec,0.580 sec,0.020 sec,0.020 sec,0.020 sec
20,20,25 %,100 %,0 %,10 %,0.390 sec,0.670 sec,0.020 sec,0.020 sec,0.020 sec
20,20,25 %,100 %,0 %,20 %,0.280 sec,0.860 sec,0.020 sec,0.010 sec,0.010 sec
20,20,25 %,100 %,10 %,10 %,0.110 sec,0.430 sec,0.020 sec,0.020 sec,0.020 sec
20,20,25 %,100 %,10 %,20 %,0.130 sec,0.570 sec,0.020 sec,0.010 sec,0.020 sec
20,20,25 %,100 %,20 %,20 %,0.140 sec,0.860 sec,0.020 sec,0.020 sec,0.010 sec
20,20,50 %,50 %,0 %,0 %,0.120 sec,0.480 sec,0.010 sec,0.020 sec,0.010 sec
20,20,50 %,50 %,0 %,10 %,0.250 sec,1.390 sec,0.020 sec,0.020 sec,0.020 sec
20,20,50 %,50 %,0 %,20 %,0.140 sec,0.550 sec,0.010 sec,0.020 sec,0.010 sec
20,20,50 %,50 %,10 %,10 %,0.100 sec,0.410 sec,0.020 sec,0.020 sec,0.010 sec
20,20,50 %,50 %,10 %,20 %,0.300 sec,1.200 sec,0.020 sec,0.010 sec,0.020 sec
20,20,50 %,50 %,20 %,20 %,0.680 sec,1.350 sec,0.020 sec,0.020 sec,0.010 sec
20,20,50 %,100 %,0 %,0 %,5.400 sec,6.810 sec,0.030 sec,0.040 sec,0.030 sec
20,20,50 %,100 %,0 %,10 %,1.490 sec,8.410 sec,0.040 sec,0.040 sec,0.040 sec
